,head,head_replaced,head_translated
13743,PersonX holds PersonY's ___ for years,someone holds someone else's something for years,有人拿着别人的东西好几年
13744,PersonX takes the dog,someone takes the dog,有人把狗带走了
13745,PersonX slips on a patch of ice,someone slips on a patch of ice,有人在一块冰上滑倒
13746,PersonX enters the stage on the side,someone enters the stage on the side,有人从侧面进入舞台
13747,PersonX watches PersonX's step,someone watches his step,有人看着他的脚步
13748,PersonX is very proud of PersonX's accomplishment,someone is very proud of his accomplishment,有人为他的成就感到骄傲
13749,PersonX puts ___ in PersonY's car,someone puts something in someone else's car,有人在别人车里放了东西
13750,PersonX gets a strike,someone gets a strike,有人罢工了
13751,PersonX gets the letter,someone gets the letter,有人收到了信
13752,PersonX comes ___ from school,someone comes something from school,有人从学校来
13753,PersonX pushes the button forward,someone pushes the button forward,有人按了按钮
13754,PersonX loves the meal,someone loves the meal,有人喜欢这顿饭
13755,PersonX sinks to PersonY's knees,someone sinks to someone else's knees,有人跪倒在别人的膝上
13756,PersonX dances with PersonY,someone dances with someone else,有人和别人跳舞
13757,PersonX gets a divorce,someone gets a divorce,有人离婚了
13758,PersonX always walked ___,someone always walked something,总有人走路
13759,PersonX embraces in the grasp of a muscular man,someone embraces in the grasp of a muscular man,有人拥抱着一个肌肉发达的男人
13760,PersonX gives PersonY a deal,someone gives someone else a deal,有人跟别人做了笔交易
13761,PersonX loves PersonX's car,someone loves his car,有人喜欢他的车
13762,PersonX finds keys in the parking lot,someone finds keys in the parking lot,有人在停车场找到钥匙
13763,PersonX guides PersonY's dog into the way,someone guides someone else's dog into the way,有人牵着别人的狗
13764,PersonX uses both hands,someone uses both hands,有人用双手
13765,PersonX walks past PersonY,someone walks past someone else,有人从别人身边走过
13766,PersonX lets PersonY see,someone lets someone else see,有人让别人看见
13767,PersonX really likes ___,someone really likes something,有人真的喜欢
13768,PersonX watches where PersonY was going,someone watches where someone else was going,有人在看别人去哪里
13769,PersonX buys an air purifier,someone buys an air purifier,有人买空气净化器
13770,PersonX keeps PersonY still,someone keeps someone else still,有人不让别人动
13771,PersonX takes a hot shower,someone takes a hot shower,有人洗个热水澡
13772,PersonX challenges PersonX's brother,someone challenges his brother,有人向他哥哥挑战
13773,PersonX strikes a blow,someone strikes a blow,有人打了一拳
13774,PersonX is on PersonX's way home from work,someone is on his way home from work,有人在下班回家的路上
13775,PersonX notices at first,someone notices at first,一开始有人注意到
13776,PersonX makes waffles for breakfast,someone makes waffles for breakfast,有人做早餐的华夫饼
13777,PersonX replaces ___ with ones,someone replaces something with ones,某人用某人代替某物
13778,PersonX tells PersonX's landlord,someone tells his landlord,有人告诉他的房东
13779,PersonX pleases PersonY's father,someone pleases someone else's father,有人取悦别人的父亲
13780,PersonX rules the roost,someone rules the roost,有人当家作主
13781,PersonX spends some time,someone spends some time,有人花了一些时间
13782,PersonX plays a game of basketball,someone plays a game of basketball,有人在打篮球
13783,PersonX shoos ___ away,someone shoos something away,有人赶走了什么
13784,PersonX takes the bus to work,someone takes the bus to work,有人坐公交车上班
13785,PersonX gives ___ to PersonX's friend,someone gives something to his friend,有人给了他的朋友一些东西
13786,PersonX fails math,someone fails math,有人数学不及格
13787,PersonX takes ___ in high school,someone takes something in high school,有人在高中的时候
13788,PersonX loses PersonX's sense,someone loses his sense,有人失去了理智
13789,PersonX takes another bite,someone takes another bite,有人再咬一口
13790,PersonX eventually found,someone eventually found,有人最终发现
13791,PersonX arranges PersonY interview,someone arranges someone else interview,安排别人面试
13792,PersonX sees PersonY's friends,someone sees someone else's friends,有人看到别人的朋友
13793,PersonX paves the way,someone paves the way,有人铺路
13794,PersonX tears open the ___,someone tears open something,有人撕开了什么东西
13795,PersonX finally worked up,someone finally worked up,有人终于激动起来了
13796,PersonX answers PersonX's purpose,someone answers his purpose,有人回答了他的目的
13797,PersonX prevents the ___ from making,someone prevents something from making,有人阻止某事
13798,PersonX takes dress back to the store,someone takes dress back to the store,有人把衣服带回商店
13799,PersonX loves the dog,someone loves the dog,有人喜欢狗
13800,PersonX renders PersonY service,someone renders someone else service,有人为别人服务
13801,PersonX exchanges insurance information,someone exchanges insurance information,有人交换保险信息
13802,PersonX throws good money after bad,someone throws good money after bad,有人把好的钱扔到坏的地方
13803,PersonX learns to tap dance,someone learns to tap dance,有人学踢踏舞
13804,PersonX takes PersonY to a doctor,someone takes someone else to a doctor,有人带别人去看医生
13805,PersonX finds ___ PersonY wanted,someone finds something someone else wanted,有人找到了别人想要的东西
13806,PersonX is back home,someone is back home,有人回家了
13807,PersonX finally gets ___,someone finally gets something,有人终于得到了什么
13808,PersonX breaks PersonY arm,someone breaks someone else arm,有人弄断了别人的胳膊
13809,PersonX plays beach volleyball,someone plays beach volleyball,有人打沙滩排球
13810,PersonX flies overhead,someone flies overhead,有人从头顶飞过
13811,PersonX sees PersonY's favorite band in concert,someone sees someone else's favorite band in concert,有人在音乐会上看到别人最喜欢的乐队
13812,PersonX gives PersonY the ability,someone gives someone else the ability,有人给了别人能力
13813,PersonX safeguards PersonY's interests,someone safeguards someone else's interests,有人保护别人的利益
13814,PersonX reduces ___ to a level,someone reduces something to a level,某人把某物降低到一定程度
13815,PersonX pays the fee,someone pays the fee,有人付钱
13816,PersonX sniffs around,someone sniffs around,有人四处打探
13817,PersonX uses ___ on PersonY's right hand,someone uses something on someone else's right hand,有人用了别人右手上的东西
13818,PersonX gives PersonY money,someone gives someone else money,有人给别人钱
13819,PersonX obtains every ___,someone obtains every something,有人得到了一切
13820,PersonX is coming home from work,someone is coming home from work,有人下班回家了
13821,PersonX bears ___ unto the PersonY,someone bears something unto the someone else,有人对别人有负有责任
13822,PersonX draws forth ___,someone draws forth something,有人抽出了什么东西
13823,PersonX writes an article,someone writes an article,有人写文章
13824,PersonX sees people,someone sees people,有人看到人们
13825,PersonX goes to the ice cream shop,someone goes to the ice cream shop,有人去冰淇淋店
13826,PersonX increases PersonX's ___ at the expense,someone increases his something at the expense,有人以牺牲自己的利益为代价
13827,PersonX takes a lot of work,someone takes a lot of work,有人做了很多工作
